Key,Title,DOI,Abstract Note,DateScreened,Screener,Decision,FullTextView,ExclusionReason,Notes,Correlations
XKPS2AC7,Clinical Medicine: Endocrinology and Diabetes: Abnormality of Serum Lipids are Independently Associated with Increased Serum Calcium Level in the Adult Newfoundland Population,10.4137/CMED.S2974,"Some epidemiological evidence shows a link between abnormality of lipid profiles and variations in serum calcium. However, it is unknown whether this association resulted from confounding factors. The present study was designed to investigate the relationship between serum lipids and calcium. Serum calcium was corrected for albumin. Major confounding factors including age, gender, medications, menopause, parathyroid hormone (PTH) and 25-OH-vitamin D status were controlled in analyses. A total of 1907 adult subjects from the province of Newfoundland and Labrador (NL), Canada participated in the study. Significant positive correlations were detected between serum total cholesterol and high density lipoprotein-cholesterol (HDL-c) with variations of serum Ca++ in both genders (p < 0.05?0.0001). Significant positive correlations were additionally detected between triglycerides (TG) and low density lipoprotein-cholesterol (LDL-c) with Ca++ in women only (p < 0.0001) in partial correlation analyses. Similar significant results were detected in both females and males not taking any medication. Analyses were performed based on menopausal status as well. Significant correlations were seen in both pre- and post-menopausal women but higher correlation coefficients were observed in pre-menopausal women as compared to post-menopausal women. Subjects with low calcium levels had the lowest concentration of total cholesterol, TG, HDL-c and LDL-c, while subjects with high calcium levels had the highest concentration of all four markers in women. The significant associations between cholesterol, TG and LDL-c and serum Ca++ remained after calcium was adjusted for 25-OH-vitamin D and PTH. Our results indicate that the abnormality of serum lipid profiles are significantly correlated with altered serum Ca++ levels independent of age, obesity status, medication, phosphorus, magnesium, 25-OH-vitamin D and PTH.",2025-09-21,DB,NA,Yes,NA,NA,NA
S4BNC9J5,[Serum calcium levels in a population of 6048 men; variations with age and correlation with other biological data],NA,NA,2025-09-21,DB,NA,Yes,NA,NA,NA
KLHDT65S,"Interaction of blood calcium with luteal activity, energy metabolites and somatic cells count in post-partum dairy cows",10.1111/rda.14126,"The aim of the research was to assess whether there was a link between serum calcium (Ca) after calving and serum progesterone, milk somatic cells count and Ca, and other blood metabolites in Achai and crossbred cows. Based on blood calcium level shortly after calving, thirty cows from both breeds were divided into a moderate group (≤10.0 mg/dl of Ca) and a high group (>10.0 mg/dl of Ca), with samples collected at 0, 7, 14, 21, 28 and 35 days post-partum, respectively. On day 35 of the post-partum, crossbred and Achai cows with high blood Ca recorded significantly (p < .01) higher serum progesterone, glucose, triglyceride and milk Ca compared with moderate blood Ca group; however, serum cholesterol was significantly (p < .01) higher in both breeds under high blood Ca. Incidence of subclinical mastitis was significantly (p < .01) higher in crossbred and Achai cows under high blood Ca. The results showed that blood progesterone (OR=2.095), glucose (OR=1.024), triglyceride (OR=4.571), cholesterol (OR=1.111) and milk Ca (OR=1.141) resulted in a greater concentration in crossbred compared to Achai cows. A significant (p < .01) correlation was found between blood Ca and other blood metabolites (progesterone, glucose, triglyceride and cholesterol) in both breeds. In conclusion, greater serum Ca concentration after calving is associated with greater serum progesterone, glucose, triglyceride and milk Ca in crossbred cows; however, the incidence of subclinical mastitis increased.",2025-09-21,DB,Exclude,No,Not a human study,NA,NA
7MNTCNM8,[The role of osteocalcin in the connection of bone and glucose metabolism in humans].,10.1556/OH.2008.28518,"The lack of osteoblast derived osteocalcin in mice causes reduced pancreatic beta-cell proliferation, decreased expression of insulin gene and adiponectin  gene in adipocytes as well. METHODS: The relationship between insulin  sensitivity, osteocalcin and bone state in 45 healthy (20 females, 25 males) and  92 glucose intolerant (51 females, 41 males) subjects was examined. Body  composition, bone density, markers of bone resorption and formation as well as  glucose uptake (M value for insulin sensitivity) measured by hyperinsulinemic  normoglycemic clamp were determined separately in males and females. RESULTS:  Osteocalcin levels were similar in the two genders, however, glucose intolerant  men had lower osteocalcin levels than healthy men (24.5+/-11 vs. 18.1+/-9 ng/ml,  p < 0.05). In the healthy group, we found positive correlation between  osteocalcin and muscle M values (females: r = +0.319, p < 0.05, males: r = 0.481,  p < 0.01), although this relationship disappeared in the glucose intolerant  groups. Osteocalcin did not show correlation with adiponectin level in any of the  genders. Based on a multivariate regression analysis, in all females significant  independent predictors of osteocalcin level were fasting blood glucose, whole and  lean body mass glucose uptake, metabolic clearance rate, estradiol and  LDL-cholesterol levels (determined 92% of its value), while in all men these were  serum calcium, OGTT glucose area under the curve, free fatty acid levels,  insulogenic index, HOMA-R and waist/hip ratio (determined 95% of its value). The  BMU index characterizing bone resorption/formation correlated significantly with  the M values only in women. CONCLUSION: This study confirmed the relationship  between insulin sensitivity and osteocalcin in healthy human population, although  basic difference was found between the two genders which was not related to  osteocalcin.",2025-09-21,DB,NA,Yes,NA,NA,NA
A5254FPA,Mild hyponatremia is associated with functional and cognitive decline in chronic hemodialysis patients.,10.5414/CN108335,"BACKGROUND: A high incidence and adverse outcomes of cognitive impairment in dialysis patients have recently become recognized. Classical risk factors,  uremia, anemia, metabolic disturbances, and hemodynamic instability during  dialysis accelerate vascular cognitive impairment. AIMS: To evaluate laboratory  factors that influence cognitive function in consecutive chronic hemodialysis  (CHD) patients over a 2-year period. METHODS: Between June 2010 and June 2011 we  conducted a prospective, single-center trial that evaluated cognitive function in  adult chronic hemodialysis (HD) patients. A battery of cognitive function tests  was used: modified mini mental state (3MS), trailmaking tests A (trails A) and B  (trails B). The 15-item geriatric depression scale (GDS) and the activities of  daily living (ADL) test were used, respectively, for assessing symptoms of  depression and global functional status. All tests were performed twice at yearly  intervals in consecutive HD patients. Global cognitive impairment was defined as  a 3MS < 80 and impaired executive function as a Trails A performance time > 75  seconds and Trails B > 180 seconds. RESULTS: 56 chronic HD patients aged 65.00 ±  17.8 years were studied; 57% of them were males. 86% suffered from hypertension  (HTN), 40% were diabetics and ~ 1/3 had ischemic heart disease, congestive heart  failure (CHF), and dyslipidemia. Average plasma calcium, phosphorus, and PTH were  within the recommended range. No features suggestive of malnutrition, severe  anemia, inflammation, or inadequate dialysis were detected. 14 patients (24%) had  mild chronic hyponatremia (Na ranges 131 - 135 meq/L). Significant disturbances  in global cognitive and executive function were detected in the study patients.  In 2010, 50% had 3MS < 80, 71% and 91% had severely impaired trails A and B tests  (respectively), 54% had symptoms of depression and 50% suffered from impaired  ADL. Retesting of the survivors in 2011 revealed increased prevalence of  cognitive and functional declines along with worsening depression scoring.  Univariate analysis demonstrated significant correlation between cognitive  decline and age, female gender, education, poor executive and functional status,  inadequate dialysis dose (Kt/V < 1.2, p = 0.023), high plasma phosphorus levels  (p > 6 mg/dL, p = 0.034), and hyponatremia (Na < 135 mEq/L, p = 0.001).  Multivariate stepwise logistic regression analysis revealed statistically  significant associations between hyponatremia and impaired ADL (p = 0.043) and  impaired ADL and mortality (p = 0.002). CONCLUSIONS: A high prevalence of global  cognitive and executive impairment was detected in our hemodialysis cohort. We  found an association between mild chronic hyponatremia and impaired functional  status. Whether treatments aimed at modifying hyponatremia could mitigate  functional decline or mortality remains to be elucidated.",2025-09-21,DB,Exclude,No,Serum cholesterol not mentioned,NA,NA
3GSSSBGK,"Relationship between adiposity-related biomarkers and calcium, magnesium, iron, copper, and zinc in young adult men with different degrees of obesity",10.5414/TEX01341,"Introduction: Several minerals have been reported to be involved in the mechanism of action of biomarkers such as adipokines that have been known to be associated with adiposity. Therefore, the purpose of this study was to identify the correlation between 5 minerals (calcium, magnesium, iron, copper, and zinc) and adiposity-related biomarkers such as blood pressure, blood lipids, C-reactive protein (CRP), adiponectin, and tumor necrosis factor-α (TNF-α) in young men with different levels of adiposity. Methods: A total of 48 male college students aged between 18 and 27 years were classified into three groups, depending on the degree of adiposity: normal group, 17 subjects; overweight group, 14 subjects; and adiposity group, 17 subjects. Anthropometric measurements were obtained and a dietary intake survey to determine the intake levels of the 5 elements was conducted. Blood samples were also collected to analyze the serum levels of the 5 minerals as well as levels of serum lipids, CRP, adiponectin, and TNF-α. Results: The mean ages in the normal, overweight, and adiposity groups were 20.47, 21.86, and 22.06 years, respectively; the daily energy intake in each group was 2039.29, 1989.93, and 1919.61 kcal, respectively, with no significant differences among the three groups. In addition, there were no significant differences among the three groups with respect to the intake and serum levels of minerals as well as adiposity-related biomarkers. When the body mass index of all subjects was adjusted while analyzing the correlation between serum minerals and adiposity-related biomarkers, significantly positive correlations between serum calcium and systolic blood pressure, serum iron and high density lipoprotein-cholesterol, and serum zinc and TNF-α were found. However, serum copper showed a significantly negative correlation with low density lipoprotein-cholesterol. Conclusion: In young adult men, serum calcium, iron, copper, and zinc were found to be related with adiposity-related biomarkers.",2025-09-21,DB,NA,Yes,NA,NA,NA
P85DQ3DK,Is abdominal aortic calcification related to renal resistive index?,10.1093/ndt/gft108,"Introduction and Aims: In chronic kidney disease (CKD), abdominal aorta calcification (AAC) is frequent and correlates with cardiovascular (CV) risk. Renal resistive index (RRI) predicts both renal and CV outcome. Therefore, we aimed to evaluate the relationship between AAC and RRI in non-dialysis CKD patients. Methods: This cross-sectional, single-center study prospectively enrolled 77 clinically stable CKD patients (49% male, 70 [65-73] years, eGFR 33.5 [30.1-36.9] ml/min) with a positive history for systemic atherosclerosis. Exclusion criteria were end-stage renal disease, obstructive nephropathy and valvular heart disease. RRI and carotid intima-media thickness (IMT) were assessed by Doppler sonography, AAC were evaluated on a plain lateral lumbar X-ray (Kauppila score - AACs), cardio-ankle vascular index (CAVI) and ankle-brachial index (ABI) were measured with an automatic waveform analyzer (VaSera). CKD etiology, cardiovascular traditional (age, smoking, arterial hypertension, diabetes mellitus, lipid profile) and non-traditional (serum calcium, phosphate, C-reactive protein - CRP) risk factors were also assessed. Two groups were defined based on a AACs cut-off >5: AACs>5 (n=37) and AACs≤5 (n=40). This value was obtained by ROC curve analysis considering the reported cut-off for RRI>0.7 (area under the curve 0.69 [0.56-0.81], p=0.001). Spearman test was used to assess correlations. Results: Vascular nephropathies (50%), diabetic nephropathy (26%) and primary glomerulonephritis (8%) were the main causes of CKD. The eGFR was similar in the two groups (30.2 [28-35.2] vs. 33.7 [30.3-39]). Patients with AACs>5 were older (71.8 [68.8-74.8] vs. 66.7 [64-69.5], p=0.006), had higher serum cholesterol (193 [175-211] vs. 167 [160-182], p=0.006), and more pronounced inflammation (CRP: 6 [4-12] vs. 3 [2-7], p=0.01). No other investigated CV risk factors differed between the two groups. Lower ABI (0.92 [0.84-1.0] vs. 1.08 [1.04-1.21], p<0.001) and higher IMT (0.08 [0.08-0.09] vs. 0.07 [0.07-0.08], p=0.006), but similar CAVI were found in AACs>5 group. Moreover, AACs was negatively correlated with ABI (rs=-0.51, p<0.001) and positively with IMT (rs=0.27, p=0.01), underlining the relationship of AACs with the extension of atherosclerosis in other territories rather than with arterial stiffness. RRI was significantly higher in subjects with AACs>5 (0.73 [0.70-0.75] vs. 0.68 [0.64-0.69], p<0.001), and showed a significant direct correlation with AACs (rs=0.35, p<0.001). Conclusions: Assessment of AACs could predict advanced atherosclerosis, since it was associated with carotid plaques (IMT) and vascular artery disease (ABI).More important, AACs could be used as a fast, available and inexpensive tool for estimation of RRI and consequently of the intrarenal vascular status, but further research is warranted.",2025-09-21,DB,NA,Yes,NA,NA,NA
8PJFQNED,[Phenome-wide Mendelian randomization identifies causal exposures for nonsyndromic cleft lip with or without cleft palate].,10.3760/cma.j.cn112144-20250430-00165,"Objective: To systematically investigate the causal effects of exposure factors on nonsyndromic cleft lip with or without cleft palate (NSCL/P) using a  phenome-wide Mendelian randomization (MR-PheWAS) framework and identify  pleiotropic loci. Methods: This study integrated genome-wide association study  (GWAS) data for NSCL/P, including 1 069 cases and 1 724 controls, and  systematically evaluated causal associations between exposures and NSCL/P using  the MR-PheWAS framework. GWAS summary data for 2 106 Asian population-exposure  phenotypes were obtained from the IEU OpenGWAS database. The inverse-variance  weighted (IVW) method served as the core causal inference model, supplemented by  weighted median and MR-Egger regression to verify the robustness of causal  associations. Additionally, multivariable MR analysis was conducted to adjust for  confounding effects, alongside sensitivity tests (Cochran's Q and MR-PRESSO).  Genetic correlations were analyzed using LD Score regression, and cross-phenotype  pleiotropy analysis (PLACO/CPASSOC) was employed to identify shared genetic loci.  Pathway enrichment and gene annotation data were integrated to explore potential  biological mechanisms. Results: MR analysis identified serum calcium (OR=0.12,  P=0.019), high-density lipoprotein (HDL, OR=0.61, P=0.039), and mean corpuscular  hemoglobin concentration (MCHC, OR=0.39, P=0.032) as protective factors, whereas  serum sodium (OR=21.41, P=0.013) was a risk factor. Furthermore, in subsequent  analyses of genetic correlation and genetic overlap, a strong association was  observed between serum calcium and NSCL/P. Cross-trait analysis localized  pleiotropic loci to 16q24.2 and 3q21.1, involving CASR and CSTA, with significant  enrichment in vitamin D response pathways. Conclusions: Numerous environmental  exposure factors may have a causal impact on the outcomes of NSCL/P, and  metabolic homeostasis (especially calcium signaling) plays a significant role in  the pathogenesis of NSCL/P. Further genetic analyses identified potential  pleiotropic loci primarily located at 16q24.2 and 3q21.1, involving key genes  such as CASR and CSTA, and enriched in vitamin D response pathways. This study  highlights the crucial position of genetic-environmental factors in the  development of cleft lip and palate.",2025-09-14,DB,Exclude,No,Cholesterol levels not mentioned,NA,NA
C3RIM3YY,Vitamin D deficiency linked to abnormal bone and lipid metabolism predicts high-risk multiple myeloma with poorer prognosis,10.3389/fendo.2023.1157969,"PURPOSE: Vitamin D deficiency is frequent in patients with multiple myeloma (MM), however, its prognostic relevance in MM was rather inconclusive. We first investigated the association of vitamin D deficiency with abnormal bone and lipid metabolism in newly diagnosed multiple myeloma (NDMM), and next assessed the impact of serum ratio of vitamin D to carboxy-terminal telopeptide of type I collagen (β-CTX) on progression-free survival (PFS) and overall free survival (OS) in patients with NDMM. METHODS: The data of 431 consecutive patients with NDMM at Beijing Jishuitan Hospital from September 2013 to December 2022 were collected and retrospectively reviewed through our electronic medical record system. The measurement of 25-hydroxyvitamin D in the blood is an indicator of an individual's overall vitamin D status. RESULTS: The serum levels of vitamin D were negatively correlated with β-CTX in NDMM patients. Of note, positive correlation between vitamin D and cholesterol levels in the serum was found in this study. The cohort (n = 431) was divided into two groups based on the serum ratio of vitamin D to β-CTX. Compared to the group with a higher vitamin D to β-CTX ratio, the group with a lower vitamin D to β-CTX ratio (n = 257, 60%) exhibited hypocholesterolemia, inferior PFS and OS, along with increased cases of ISS stage-III and R-ISS stage-III, a higher number of plasma cells in the bone marrow, and elevated serum calcium levels. Consistent with this, multivariate analysis confirmed that the vitamin D to β-CTX ratio was an independent unfavorable indicator for survival in NDMM patients. CONCLUSION: Our data demonstrated the ratio of vitamin D to β-CTX in the serum is a unique biomarker for NDMM patients to identify the high-risk cases with poor prognosis, which is superior to vitamin D itself for predicting PFS and OS in NDMM. Also, it is worth mentioning that our data on the connection between vitamin D deficiency and hypocholesterolemia might help clarify novel mechanistic aspects of myeloma development.",2025-09-21,DB,NA,Yes,NA,NA,NA
B482G5XA,Values of Donor Serum Lipids and Calcium in Predicting Graft Function after Kidney Transplantation: A Retrospective Study,10.1007/s11596-023-2729-2,"OBJECTIVE: Delayed graft function (DGF) and early graft loss of renal grafts are determined by the quality of the kidneys from the deceased donor. As ""non-traditional"" risk factors, serum biomarkers of donors, such as lipids and electrolytes, have drawn increasing attention due to their effects on the postoperative outcomes of renal grafts. This study aimed to examine the value of these serum biomarkers for prediction of renal graft function. METHODS: The present study consecutively collected 306 patients who underwent their first single kidney transplantation (KT) from adult deceased donors in our center from January 1, 2018 to December 31, 2019. The correlation between postoperative outcomes [DGF and abnormal serum creatinine (SCr) after 6 and 12 months] and risk factors of donors, including gender, age, body mass index (BMI), past histories, serum lipid biomarkers [cholesterol, triglyceride, high-density lipoprotein (HDL) and low-density lipoprotein (DL)], and serum electrolytes (calcium and sodium) were analyzed and evaluated. RESULTS: (1) Donor age and pre-existing hypertension were significantly correlated with the incidence rate of DGF and high SCr level (≥2 mg/dL) at 6 and 12 months after KT (P<0.05); (2) The donor's BMI was significantly correlated with the incidence rate of DGF after KT (P<0.05); (3) For serum lipids, merely the low level of serum HDL of the donor was correlated with the reduced incidence rate of high SCr level at 12 months after KT [P<0.05, OR (95% CI): 0.425 (0.202-0.97)]; (4) The serum calcium of the donor was associated with the reduced incidence rate of high SCr level at 6 and 12 months after KT [P<0.05, OR (95% CI): 0.184 (0.045-0.747) and P<0.05, OR (95% CI): 0.114 (0.014-0.948), respectively]. CONCLUSION: The serum HDL and calcium of the donor may serve as predictive factors for the postoperative outcomes of renal grafts after KT, in addition to the donor's age, BMI and pre-existing hypertension.",2025-09-21,DB,NA,Yes,NA,NA,NA
