ID,ZoteroKey,DOI,Source,Title,DateRetrieved,Screener,Decision,FullTextView,ExclusionReason,Zote
1,adamsPitavastatinLoweringLipids,10.1002/14651858.CD013673.pub2,Cochrane CENTRAL,Pitavastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
2,adamsRosuvastatinLoweringLipids,10.1002/14651858.CD010254.pub2,Cochrane CENTRAL,Rosuvastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
3,adamsPravastatinLoweringLipids,10.1002/14651858.CD013673.pub2,Cochrane CENTRAL,Pravastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
4,,10.1186/s12902-025-02030-y,PubMed,Correlation between thyroid sensitivity indices and bone metabolism in newly diagnosed middle aged and elderly patients with type 2 diabetes mellitus with normal thyroid function,9/14/25,DB,,,,
5,,10.3760/cma.j.cn112144-20250430-00165,PubMed,[Phenome-wide Mendelian randomization identifies causal exposures for nonsyndromic cleft lip with or without cleft palate],9/14/25,DB,Exclude,No,Cholesterol levels not mentioned ,
6,,10.2147/IJGM.S530926. eCollection 2025,PubMed,Metabolic and Renal Profile Differences in Pure vs Mixed Uric Acid Kidney Stones: A Retrospective Study,9/14/25,DB,Exclude,No,Cholesterol levels not mentioned ,
7,,,PubMed,Mitochondrial-dependent apoptosis and STAT3 activation induced by oxidative stress in pemphigus vulgaris,9/14/25,DB,,,,
8,,,PubMed,Are there prophylactic effects of vitamin D among healthier adult patients? A systematic review of randomized controlled trials,9/14/25,DB,,,Systematic review,Used for secondary screening
9,,,PubMed,Hair Calcium Levels in Relation to Coronary Artery Disease Severity and Systemic Inflammation Markers: A Pilot Study,9/14/25,DB,,,,
10,,,PubMed,Serum biomarkers and bone mineral density of the hip in Chinese elderly patients with hip fractures,9/14/25,DB,,,,
11,,,PubMed,[Analysis of clinical characteristics and influencing factors of patients with postmenopausal osteoporosis combined with dyslipidemia],9/14/25,DB,,,,
12,,10.3390/vetsci12050495,PubMed,Subclinical Hypocalcemia Across Lactation Stages Reflects Potential Metabolic Vulnerability in Korean Holstein Cows,9/14/25,DB,Exclude,No,Not a human study,
13,,,PubMed,Evaluation of the fracture prevention effects of teriparatide and alendronate in patients with frailty: a sub-analysis of the Japanese osteoporosis intervention trial-05,9/14/25,DB,,,,
14,,10.1016/j.atherosclerosis.2025.119136,PubMed,Genetic association of circulating lipids and lipid-lowering drug targets with vascular calcification,9/14/25,DB,Exclude,No,Serum calcium not mentioned,
